execution	cohort	cohort_sort	dependence	dependence_sort	dependence_type	independence	model	model_sort	model_adjustment	model_context	model_note
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_bioavailable_male_age_middle_unadjust	38	38	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_bioavailable_male_age_high_adjust	39	39	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_bioavailable_male_age_high_unadjust	40	40	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_free_male_adjust	41	41	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_free_male_unadjust	42	42	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_free_male_age_low_adjust	43	43	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_free_male_age_low_unadjust	44	44	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_free_male_age_middle_adjust	45	45	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_free_male_age_middle_unadjust	46	46	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_free_male_age_high_adjust	47	47	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_free_male_age_high_unadjust	48	48	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_shbg_male_adjust	49	49	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_shbg_male_unadjust	50	50	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_shbg_male_age_low_adjust	51	51	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_shbg_male_age_low_unadjust	52	52	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_shbg_male_age_middle_adjust	53	53	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_shbg_male_age_middle_unadjust	54	54	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_shbg_male_age_high_adjust	55	55	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_shbg_male_age_high_unadjust	56	56	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_albumin_male_adjust	57	57	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_albumin_male_unadjust	58	58	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_albumin_male_age_low_adjust	59	59	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_albumin_male_age_low_unadjust	60	60	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_albumin_male_age_middle_adjust	61	61	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_albumin_male_age_middle_unadjust	62	62	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_albumin_male_age_high_adjust	63	63	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_albumin_male_age_high_unadjust	64	64	unadjust	marginal	unadjust marginal
